kills,assists,deaths,dmgDealt,dmgHealed,dmgTaken,exp,ppr,classe
2,6,1,21040,0,54885,10588,63,win
4,5,2,45742,0,23412,9394,52,win
2,5,1,16690,0,40037,13296,51,win
0,5,3,34334,0,22311,9924,41,win
1,6,0,10117,53217,0,7539,54,win
0,6,2,17306,43580,0,6631,43,loss
0,6,3,19431,0,81115,6951,36,loss
1,4,2,19152,0,21519,13067,31,loss
3,3,1,24833,0,20314,15110,42,loss
3,3,1,46569,0,16807,8193,53,loss
1,3,3,15171,0,11576,2296,12,loss
1,2,0,16164,0,0,4667,38,loss
0,4,0,2188,19711,0,2733,42,loss
0,4,2,6460,0,36841,3497,36,loss
2,2,2,18719,0,17793,2756,21,loss
0,6,2,6428,28944,0,3448,43,win
2,5,0,8540,0,24840,3346,64,win
0,3,1,5121,0,29998,6743,54,win
3,3,1,16989,0,8729,2936,35,win
2,4,0,21241,0,12423,3460,67,win
6,5,2,45643,0,35859,11423,50,loss
4,7,6,46718,0,69244,14400,32,loss
0,10,4,6248,55813,0,8198,16,loss
1,7,3,25236,0,69634,12717,40,loss
2,10,2,65450,0,16797,16122,63,loss
1,15,2,23976,57562,0,9820,64,win
5,8,4,45451,0,87009,10803,44,win
3,9,2,28889,0,55829,16308,51,win
6,9,4,49699,0,48563,12176,46,win
2,11,1,37876,0,27801,12197,59,win
